occurrence_id,passage_id,deal_id,document_id,accession_number,document_type,document_family,source_url,heading,block_start,block_end,char_start,char_end,duplicate_group_id,content_sha256
occurrence_1da69e9b70a35e8c,passage_be8908cba27a3da5,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1973,1973,67225,67338,duplicate_be8908cba27a3da5,be8908cba27a3da58533097e661eceeeb98873faa70dc9a1f7b040ddaf106aa8
occurrence_287bff6d658ead32,passage_af3870e143af9088,3984774040,supp_27bba806dccbb131,,primary_sec_filing,official_announcement,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,,29,29,1773,1978,duplicate_af3870e143af9088,af3870e143af9088ab8e7bac74f3cd4f811cad6a25eeab70b6f0c5172f54b5b1
occurrence_40daa0023623193f,passage_5d4b855751cf2fbf,3201487020,supp_afd5f3e53a041df6,,official_company_announcement,official_announcement,https://www.smartsheet.com/content-center/news/smartsheet-announces-converseai-natural-language-automation-acquisition,,123,123,4695,5264,duplicate_5d4b855751cf2fbf,5d4b855751cf2fbfb46ae6eb854fdc37eff5dd621da9cc9dd2d7bf3699f90ce1
occurrence_41b54d9ca2bf6636,passage_bf00662c0390942e,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1865,1865,63821,63903,duplicate_bf00662c0390942e,bf00662c0390942e27c5d62b3d2be9afc952923e67405c110eaa4248c4c92512
occurrence_439bc08f10dc3266,passage_2cf3c77a8aa72614,3153170020,supp_6bb6449c48074311,,official_company_announcement,official_announcement,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,,104,104,5748,5763,duplicate_2cf3c77a8aa72614,2cf3c77a8aa726147bd3a2dc5c8597eae4d3479a1830884ebb080f3c64233031
occurrence_4b0c07d2aa9989c0,passage_1bc39d673735bfb8,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1364,1364,47729,47810,duplicate_1bc39d673735bfb8,1bc39d673735bfb805e1e202597d23f708f9c5f7b91fa8a6998049d63010672d
occurrence_4da06fdd3016bf97,passage_e5a65ef006ed8c96,3257183040,supp_2d6e94103484791d,,official_company_press_release_distributor,official_announcement,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,,106,106,2396,2433,duplicate_e5a65ef006ed8c96,e5a65ef006ed8c9662889e8e4e91cf394e80d8def62b8c7b417eb51cd9d45e16
occurrence_4e03d891f8d7e3fc,passage_fe9576f3890637fc,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,977,977,34330,34423,duplicate_fe9576f3890637fc,fe9576f3890637fcf5927fc9f4c1307a331d5df456831a9aadc2a4e310353c5c
occurrence_52072f9c192fb331,passage_47c22e2904d71f3f,3348911020,supp_4b9aa9fc3ba3f604,,official_company_announcement,official_announcement,https://sensory.com/news/sensory-acquires-vocalize-ai-for-speech-technology-testing-capabilities/,,173,173,6143,6156,duplicate_47c22e2904d71f3f,47c22e2904d71f3fa2923c914af0774b8a481cc7390feabdb8c601432e01bb73
occurrence_52e50166eb461b22,passage_f2d99d9d28273e6d,3939905020,supp_e28fecde52a19db4,,official_company_announcement,official_announcement,https://www.glia.com/news/glia-acquires-finn-ai,,22,22,2402,2748,duplicate_f2d99d9d28273e6d,f2d99d9d28273e6db2d1a1afa457e1c41815b4bcd8626294eade57221897ca54
occurrence_5726d13848415021,passage_68a024fb024bc605,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1373,1373,48034,48127,duplicate_68a024fb024bc605,68a024fb024bc6052aeb571e11d7a214616d32f56ab450d79d14e8b231938527
