deal_id,acquirer_name,target_name,announcement_date,closing_date,transaction_form,deal_status,ai_category,ai_relevance_evidence,talent_motive,source_url,source_accession,source_document_id,source_quality,supporting_excerpt,verification_status,confidence,missingness_reason
3763340020,Fractal Analytics Inc,Samya.Ai Inc,2021-06-22,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products)); machine learning; reinforcement learning",not_documented_in_reviewed_sources,https://fractal.ai/docs/Investor-Relations/Fractal-Analytics-Limited-Financial-Statements/Financial-Statements-Consolidated/Fractal-Analytics-Ltd-Consolidated-Financial-Statements-FY-23.pdf,,supp_60ce6b40bdfcfb8d,official_company_financial_statement,"Acquisition of Asper.ai Group, formerly known as Samya.ai. Asper.ai is an AI company using probabilistic machine learning and reinforcement learning approaches.",qualifying_machine_verified_pending_human_review,high,
3767523020,Zebra Technologies Corp,Fetch Robotics Inc,2021-07-01,unknown,statutory merger,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products))",not_documented_in_reviewed_sources,https://www.sec.gov/Archives/edgar/data/877212/000087721222000023/zbraex991123121.htm,0000877212-22-000023,doc_5d324afbb941229e,primary_sec_filing,"ed when they utilize Zebra innovations that help them sense, analyze and act in real time. In 2021, Zebra expanded its industrial automation portfolio with its Fetch Robotics acquisition and increased its machine vision and AI software capabilities with the acquisitions of Adaptive Vision and antuit.ai. Zebra is #25 on Newsweek's inaugural list of America's Most Loved Workplaces and on Forbes' list of America's best employers for the fifth year. Learn more at ze",qualifying_machine_verified_pending_human_review,medium,
3769973020,Fortinet Inc,Sken Ai,2021-07-07,unknown,statutory merger,unclear,ai_company_acquisition,machine learning,not_documented_in_reviewed_sources,https://www.fortinet.com/blog/business-and-technology/fortinet-acquires-application-security-innovator-skenai-to-accelerate-devsecops,,supp_51c55fd18a22cc50,official_company_announcement,"CI/CD platforms. Sken.ai also offers comprehensive testing across all scan types (SAST, DAST, SCA, Secrets and more) for all major languages and frameworks. Sken.ai uses machine learning (ML) to correlate and assign security risk rating of each vulnerability discovered across disparate scan types and applications. For example, if similar vulnerabilities are found across different scan types, the risk rating of that issue i",qualifying_machine_verified_pending_human_review,medium,
3778252040,Opentrons Labworks Inc,Zenith Ai (N.i.) Ltd,2021-06-29,unknown,asset purchase,unclear,ai_company_acquisition,machine learning,not_documented_in_reviewed_sources,https://opentrons.com/archives/news/press-release-opentrons-announces-200-million-series-c-round-led-by-softbank,,supp_0422efe0d68e82e7,official_company_announcement,Zenith AI is a wholly-owned subsidiary of Opentrons that was acquired in June 2021. Zenith AI brings proprietary no-code AI and modern machine learning to the Opentrons platform.,qualifying_machine_verified_pending_human_review,medium,
3781439020,Deere & Co,Bear Flag Robotics Inc,2021-08-05,unknown,asset purchase,unclear,unknown,target_mentioned_without_local_ai_evidence,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,target_mentioned_without_local_ai_evidence
3788092020,Integrity Implants Inc,Fusion Robotics LLC,2021-07-06,unknown,statutory merger,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3791403020,Niantic Inc,Toolbox AI Inc,2021-08-10,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3800015040,AGCO Corp,Farm Robotics & Automation SL,2021-09-10,unknown,statutory merger,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3803400020,Locus Robotics Corp,Waypoint Robotics Inc,2021-09-20,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3815848040,Slinger Bag Inc,Gameface.AI,2021-09-27,unknown,statutory merger,unclear,ai_company_acquisition,artificial intelligence,not_documented_in_reviewed_sources,https://slingerbag.com/blogs/news/slinger-announces-official-closing-of-gameface-ai-acquisition,,supp_d9db35df81172da6,official_company_announcement,"Slinger announced the finalization of its acquisition of GAMEFACE.AI, an artificial intelligence technology provider for sports.",qualifying_machine_verified_pending_human_review,medium,
3824154020,Maplebear Inc,Caper AI,2021-10-19,unknown,asset purchase,unclear,ai_company_acquisition,\bai[- ]powered\b,not_documented_in_reviewed_sources,https://company.instacart.com/pressreleases/instacart-acquires-caper-ai-a-leader-in-smart-cart-and-smart-checkout-technology-creating-a-unified-online-and-in-store-commerce-solution-for-retailers,,supp_3924f48dc3e22ee0,official_company_announcement,"Instacart, the leading online grocery platform in North America, today announced its acquisition of Caper AI (“Caper”), a leading AI-powered shopping cart and checkout technology platform.",qualifying_machine_verified_pending_human_review,medium,
3824479040,GHO Capital Partners LLP,Glamorous AI Ltd,2021-10-28,unknown,asset purchase,unclear,ai_company_acquisition,artificial intelligence,not_documented_in_reviewed_sources,https://ghocapital.com/updates/x-chem-acquires-glamorous-ai-and-cominnex-harnessing-machine-learning-to-accelerate-outcomes-across-small-molecule-drug-discovery/,,supp_7965493b1375a0d5,official_company_announcement,"GHO Capital reported that its portfolio company X-Chem acquired Glamorous AI, a leader in artificial intelligence solutions for drug discovery.",qualifying_machine_verified_pending_human_review,medium,
3827631020,TCGPlayer Inc,Roca Robotics Inc,2021-11-04,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3832746020,Ocean Power Technologies Inc,Marine Advanced Robotics Inc,2021-11-16,unknown,statutory merger,unclear,unknown,target_mentioned_without_local_ai_evidence,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,target_mentioned_without_local_ai_evidence
3844522020,Cloudflare Inc,Sweeps Ai Inc,2021-12-08,unknown,asset purchase,unclear,unknown,no_target_mention_in_retrieved_documents,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,no_target_mention_in_retrieved_documents
3844957040,Fieldin Inc,Midnight Robotics Tech Inc,2021-11-17,unknown,asset purchase,unclear,unknown,target_mentioned_without_local_ai_evidence,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,target_mentioned_without_local_ai_evidence
3848240020,Cleantech Acquisition Corp,Nauticus Robotics Inc,2021-12-17,unknown,statutory merger,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3854487020,Stockx LLC,Scout App AI Inc,2021-11-17,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3865096040,Ei3c Corp,Cognitive Sltns & Innovatn AG,2022-01-19,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3883453040,AiDash Inc,Nevronas AI Labs Pvt Ltd,2022-02-20,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3884762020,Tetra Tech Inc,Axiom Data Science LLC,2022-03-08,unknown,asset purchase,unclear,unknown,target_mentioned_without_local_ai_evidence,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,target_mentioned_without_local_ai_evidence
3897450020,Bridesview Inc,Replier.ai,2022-03-30,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products))",not_documented_in_reviewed_sources,https://www.prnewswire.com/news-releases/tailwind-acquires-replierai-adding-ai-capability-to-help-marketers-break-writers-block--write-better-copy-301514233.html,,supp_65df7410879e926e,official_company_press_release_distributor,"Tailwind acquired Replier.ai, adding AI capability to help marketers generate custom replies and content and expanding its team, products and customer base.",qualifying_machine_verified_pending_human_review,medium,
3931591040,WBI Investments Inc,Fortuna AI Labs Inc,2022-05-24,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3931884040,CVC Advisers Ltd,Drishyam Ai Inc,2022-06-07,unknown,asset purchase,unclear,ai_company_acquisition,artificial intelligence; natural language processing,not_documented_in_reviewed_sources,https://www.mediaocean.com/mediaocean-acquires-drishyam-ai,,supp_f368e85a0b40f759,official_company_announcement,"Mediaocean acquired Drishyam AI, a software company that automates ad-content identification and optimization using artificial intelligence and natural language processing.",qualifying_machine_verified_pending_human_review,high,
3939905020,Glia Technologies Inc,Finn AI,2022-06-23,unknown,asset purchase,unclear,ai_company_acquisition,"\bai[- ]powered\b; \bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products)); conversational ai",not_documented_in_reviewed_sources,https://www.glia.com/news/glia-acquires-finn-ai,,supp_e28fecde52a19db4,official_company_announcement,"Learn more → Back to Resources News June 23, 2022 Glia Acquires Finn AI to Deliver Turnkey Banking Virtual Assistants for Enhanced Digital Customer Service Finn AI’s state-of-the-art Conversational AI solution and deep financial services expertise complement Glia’s industry-leading DCS platform Finn AI’s state-of-the-art Conversational AI solution and deep financial services expertise complement Glia’s industry-leading DCS platform ‍ NE",qualifying_machine_verified_pending_human_review,high,
3941044020,SoundCommerce LLC,Outlier Ai Inc,2022-05-10,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3947075020,TryMyUI Inc,Stitchology.ai,2022-06-30,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3947466040,IBM Corp,Databand.ai Ltd,2022-07-06,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products)); machine learning",not_documented_in_reviewed_sources,https://newsroom.ibm.com/2022-07-06-IBM-Aims-to-Capture-Growing-Market-Opportunity-for-Data-Observability-with-Databand-ai-Acquisition,,supp_cedfc0619ce50a42,official_company_announcement,"bservability by Instana APM and IBM Watson Studio , IBM is well-positioned to address the full spectrum of observability across IT operations. For example, Databand.ai capabilities can alert data teams and engineers when the data they are using to fuel an analytics system is incomplete or missing. In common cases where data originates from an enterprise application, Instana can then help users quickly ex",qualifying_machine_verified_pending_human_review,high,
3963056020,Eltropy Inc,Marsview.ai Inc,2022-08-17,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products))",not_documented_in_reviewed_sources,https://www.globenewswire.com/news-release/2022/08/17/2500216/0/en/Eltropy-Acquires-Marsview-AI-Empowering-Financial-Institutions-to-Automate-the-Contact-Center.html,,supp_664287af541d6741,official_company_press_release_distributor,"Eltropy, the industry-leading Digital Communications platform for financial institutions, today announced the acquisition of Marsview.ai, the AI platform for conversational intelligence.",qualifying_machine_verified_pending_human_review,medium,
3977482040,Wingate Partners LP,Bright Path AI-IP Rights & Ass,2022-08-22,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3984774040,Velodyne Lidar Inc,Bluecity.ai,2022-10-04,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products))",not_documented_in_reviewed_sources,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,,supp_27bba806dccbb131,primary_sec_filing,"initiatives to improve our gross margin and lower our cost structure. In addition, we added new multiyear customer agreements and announced the acquisition of Bluecity, which further bolsters our software and AI capabilities. In the third quarter, billings of $12.5 million were above our guidance range of $10 million to $12 million. Revenue of $9.6 million was within the guidance range of $8 million to $11 million. As discussed in prior quarter",qualifying_machine_verified_pending_human_review,medium,
