passage_id,deal_id,document_family,token_count,count_positive,count_negative,count_hedging,count_modality,count_protection_program,count_retention,count_pay_wages,count_benefits,count_equity_vesting,count_termination_severance,count_employee_workforce,rate_positive_per100,rate_negative_per100,rate_hedging_per100,rate_modality_per100,rate_protection_program_per100,rate_retention_per100,rate_pay_wages_per100,rate_benefits_per100,rate_equity_vesting_per100,rate_termination_severance_per100,rate_employee_workforce_per100,raw_or_adjusted,rate_benefits_per100_adjusted,baseline_mean_benefits,baseline_fallback_benefits,rate_employee_workforce_per100_adjusted,baseline_mean_employee_workforce,baseline_fallback_employee_workforce,rate_equity_vesting_per100_adjusted,baseline_mean_equity_vesting,baseline_fallback_equity_vesting,rate_hedging_per100_adjusted,baseline_mean_hedging,baseline_fallback_hedging,rate_modality_per100_adjusted,baseline_mean_modality,baseline_fallback_modality,rate_negative_per100_adjusted,baseline_mean_negative,baseline_fallback_negative,rate_pay_wages_per100_adjusted,baseline_mean_pay_wages,baseline_fallback_pay_wages,rate_positive_per100_adjusted,baseline_mean_positive,baseline_fallback_positive,rate_protection_program_per100_adjusted,baseline_mean_protection_program,baseline_fallback_protection_program,rate_retention_per100_adjusted,baseline_mean_retention,baseline_fallback_retention,rate_termination_severance_per100_adjusted,baseline_mean_termination_severance,baseline_fallback_termination_severance
passage_6c4d292ed3b7acfd,3153170020,official_announcement,86,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_6d3ecd439b83874c,3947466040,official_announcement,51,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,1.9608,0.0,0.0,0.0,0.0,0.0,0.0,1.9608,raw_and_baseline_adjusted,-0.0063,0.0063,0,-1.573,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,1.7568,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_6d5b73b4b3d18264,3078525020,official_announcement,220,0,0,0,0,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,0.0,0.0,0.9091,raw_and_baseline_adjusted,0.4482,0.0063,0,-2.6247,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_72378914b191a65a,3767523020,official_announcement,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_7ef6fd7ccffe6fd9,3939905020,official_announcement,58,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7241,raw_and_baseline_adjusted,-0.0063,0.0063,0,-1.8097,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_7f859f48f7729ac3,3947466040,official_announcement,80,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,1.046,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_8b5ef75354ae837c,3939905020,official_announcement,220,2,0,0,1,0,0,0,0,0,0,1,0.9091,0.0,0.0,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.0793,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,0.2505,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,0.357,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_949618066d7a7221,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_98e566a20b2a9e14,3201487020,official_announcement,27,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037,raw_and_baseline_adjusted,-0.0063,0.0063,0,0.1699,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_a003b89be13ba97b,3701621020,official_announcement,112,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_a0f9acef0fdc5332,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,raw_and_baseline_adjusted,-0.0063,0.0063,0,4.7995,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_a25496ff66f1efd7,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_a6761b7d152f05b0,3257183040,official_announcement,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_a97eade5682dd512,3701621020,official_announcement,113,1,0,0,0,0,0,0,0,0,0,0,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,0.3329,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_af3870e143af9088,3984774040,official_announcement,32,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_b5d837129601c64c,3767523020,official_announcement,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_b61a12d56792d283,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_b7c15ff824bee49e,3701621020,official_announcement,66,1,0,0,0,0,0,0,0,0,0,0,1.5152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,0.9631,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_bc22833d2d7672e5,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_bcbca2530b3bb203,3078525020,official_announcement,220,2,0,0,0,0,0,0,0,0,0,1,0.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.0793,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,0.357,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_be8908cba27a3da5,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_bf00662c0390942e,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
