deal_id,passages,tokens,mean_net_tone_per100,mean_net_tone_residual,mean_hedge_per100,mean_hedge_residual,mean_negout_per100,mean_negout_residual,mean_protect_per100,mean_protect_residual,mean_modality_shall_share
3871290020,63,7368,0.873119,0.458001,0.598725,0.042784,0.028762,-0.038150,1.306466,0.300922,0.206349
3871813020,7,707,-0.609209,-1.281352,0.455203,-0.023197,0.000000,-0.017498,1.808010,1.021906,0.000000
3871833020,28,2626,-0.567946,-0.492254,0.938059,0.190864,0.000000,-0.129923,0.434149,-0.535871,0.062500
3879360020,51,6059,2.013686,1.598568,0.589375,0.033434,0.036529,-0.030383,1.300790,0.295245,0.455882
3887864040,11,1950,0.990644,1.077603,0.256198,-0.426622,0.000000,-0.011841,0.103968,-0.859706,0.000000
3888463040,1,74,0.000000,-0.672143,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3889580020,6,829,0.200803,-0.026163,1.481260,0.542391,0.000000,-0.046844,0.093110,-1.034529,0.000000
3891655020,10,1879,0.122167,0.285139,0.554830,-0.205079,0.000000,-0.010321,1.323537,0.337481,0.000000
3892232040,37,3353,-0.115743,-0.537807,0.377898,-0.175947,0.065920,0.000343,1.467814,0.468200,0.067568
3894563020,1,81,1.234568,0.562425,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3895329020,30,3230,0.018395,-0.111327,0.999354,0.224486,0.042735,-0.003481,1.182126,0.063411,0.475000
3896666020,81,7471,0.598286,0.379846,0.937723,0.005809,0.057858,0.011965,0.644282,-0.478903,0.012346
3898245040,11,578,-0.215032,-0.653515,0.000000,-0.548891,0.000000,-0.062420,0.097752,-0.887844,0.272727
3898599020,21,2156,-0.127189,-0.153866,0.807081,0.042094,0.000000,-0.044551,1.960749,0.825304,0.087302
3899069020,35,3022,0.557403,0.317570,0.364158,-0.165387,0.018083,-0.015525,0.227502,-0.499941,0.195238
3902649040,63,7195,0.022541,-0.389908,0.645862,0.085342,0.039926,-0.024593,1.098512,0.098807,0.174603
3903514020,44,4532,0.388563,-0.049921,0.291144,-0.257748,0.095350,0.032930,0.563915,-0.421681,0.189394
3915952020,21,2119,-0.273370,-0.344411,1.195015,0.412192,0.076805,0.032340,0.594276,-0.529608,0.176871
3919146020,79,7771,1.291911,1.036768,0.833020,-0.076706,0.074746,0.029759,0.847841,-0.258181,0.000000
3920247020,8,1159,-0.355504,-1.027647,0.964512,0.486112,0.000000,-0.017498,2.229450,1.443345,0.000000
3923441020,59,7186,1.482336,1.067218,0.479250,-0.076690,0.028054,-0.038859,3.097201,2.091657,0.245157
3924275040,143,12254,0.037434,-0.189532,1.389091,0.450222,0.000000,-0.046844,1.334620,0.206981,0.013986
3929832020,6,577,0.519782,-0.152361,0.075075,-0.403324,0.000000,-0.017498,0.000000,-0.786104,0.000000
3931132020,82,10801,0.344586,0.239434,0.482228,-0.306069,0.022560,-0.024957,0.941530,-0.192252,0.306775
3937405020,78,8593,-0.047654,-0.355233,0.727318,0.129761,0.022697,-0.037292,0.538697,-0.479687,0.285256
3941653020,83,10478,-0.981676,-0.355861,0.551023,-0.385716,0.082103,-0.031090,0.307683,-0.702997,0.393373
3942920020,8,323,0.686000,0.459034,0.694444,-0.244425,0.429967,0.383123,3.923316,2.795678,0.000000
3947420020,79,15182,-0.117332,-0.419573,0.533985,-0.021262,0.050489,0.002987,0.356968,-0.473756,0.236428
3947466040,4,417,0.750844,0.078700,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3948517040,277,37095,0.473599,0.270648,0.799795,-0.028130,0.019420,-0.031024,0.909266,-0.191523,0.173586
3953332040,135,14430,0.517692,0.250801,0.870425,-0.060508,0.052689,0.005547,0.931108,-0.181090,0.088889
3958349020,38,4428,0.267051,-0.161595,0.311816,-0.240044,0.075523,0.011211,1.045662,0.051666,0.250000
3964089020,79,9757,0.014802,-0.413329,0.329892,-0.222122,0.017881,-0.046530,1.241074,0.246640,0.379536
3969906020,476,50641,-0.105879,-0.247597,0.915911,-0.024638,0.055090,-0.006103,1.328075,0.146235,0.072549
3969983020,48,5281,0.372586,0.498327,0.617285,-0.187651,0.000000,-0.025139,1.887066,0.456527,0.151042
3972098020,17,2264,0.256364,0.097014,0.947639,0.188965,0.000000,-0.044647,0.901578,-0.198970,0.264706
3973484020,58,6737,0.039353,-0.039277,0.615906,-0.187155,0.048535,0.001417,0.736513,-0.403687,0.172414
3974142040,4,557,0.295604,0.068638,0.656251,-0.282618,0.000000,-0.046844,0.521848,-0.605790,0.500000
3974497020,42,5733,0.855749,0.456874,0.745980,0.179478,0.067958,0.002283,0.810682,-0.196553,0.315873
3976265040,80,8798,0.036127,-0.373676,0.680931,0.120415,0.043368,-0.022278,1.142886,0.139197,0.331250
3986288020,1,108,0.000000,-0.672143,0.925926,0.447527,0.000000,-0.017498,0.000000,-0.786104,0.000000
3988539020,49,5872,0.176458,-0.249151,0.431331,-0.121445,0.000000,-0.064896,0.734276,-0.262311,0.137755
3991430020,4,175,0.316456,0.202973,0.632911,0.163477,0.000000,-0.023422,1.527778,-0.563819,0.000000
4005412040,13,1136,0.189242,-0.106213,0.491063,-0.376965,0.000000,-0.042329,0.813064,-0.262031,0.000000
